row_id,cipher,rounds,source_eval,sample_id,attack_family
DES|2|DES_2r_1.eval|4,DES,2,DES_2r_1.eval,4,
DES|2|DES_2r_1.eval|5,DES,2,DES_2r_1.eval,5,
DES|2|DES_2r_2.eval|1,DES,2,DES_2r_2.eval,1,
DES|2|DES_2r_2.eval|2,DES,2,DES_2r_2.eval,2,
DES|2|DES_2r_2.eval|3,DES,2,DES_2r_2.eval,3,
DES|2|DES_2r_2.eval|4,DES,2,DES_2r_2.eval,4,
DES|2|DES_2r_2.eval|5,DES,2,DES_2r_2.eval,5,
DES|3|DES_3r_1.eval|1,DES,3,DES_3r_1.eval,1,
DES|3|DES_3r_1.eval|2,DES,3,DES_3r_1.eval,2,
DES|3|DES_3r_1.eval|3,DES,3,DES_3r_1.eval,3,
DES|3|DES_3r_1.eval|4,DES,3,DES_3r_1.eval,4,
DES|3|DES_3r_1.eval|5,DES,3,DES_3r_1.eval,5,
DES|3|DES_3r_1.eval|6,DES,3,DES_3r_1.eval,6,
DES|3|DES_3r_1.eval|7,DES,3,DES_3r_1.eval,7,
DES|3|DES_3r_1.eval|9,DES,3,DES_3r_1.eval,9,
DES|3|DES_3r_1.eval|10,DES,3,DES_3r_1.eval,10,
DES|3|DES_3r_2.eval|8,DES,3,DES_3r_2.eval,8,
DES|4|DES_4r_1.eval|1,DES,4,DES_4r_1.eval,1,
DES|4|DES_4r_1.eval|2,DES,4,DES_4r_1.eval,2,
DES|4|DES_4r_1.eval|3,DES,4,DES_4r_1.eval,3,
DES|4|DES_4r_1.eval|4,DES,4,DES_4r_1.eval,4,
DES|4|DES_4r_1.eval|5,DES,4,DES_4r_1.eval,5,
DES|4|DES_4r_2.eval|1,DES,4,DES_4r_2.eval,1,
DES|4|DES_4r_2.eval|2,DES,4,DES_4r_2.eval,2,
DES|4|DES_4r_2.eval|3,DES,4,DES_4r_2.eval,3,
DES|4|DES_4r_2.eval|4,DES,4,DES_4r_2.eval,4,
DES|4|DES_4r_2.eval|5,DES,4,DES_4r_2.eval,5,
DES|5|DES_5r_1.eval|1,DES,5,DES_5r_1.eval,1,
DES|5|DES_5r_1.eval|2,DES,5,DES_5r_1.eval,2,
DES|5|DES_5r_1.eval|3,DES,5,DES_5r_1.eval,3,
DES|5|DES_5r_1.eval|4,DES,5,DES_5r_1.eval,4,
DES|5|DES_5r_1.eval|5,DES,5,DES_5r_1.eval,5,
DES|5|DES_5r_2.eval|1,DES,5,DES_5r_2.eval,1,
DES|5|DES_5r_2.eval|2,DES,5,DES_5r_2.eval,2,
DES|5|DES_5r_2.eval|3,DES,5,DES_5r_2.eval,3,
DES|5|DES_5r_2.eval|4,DES,5,DES_5r_2.eval,4,
DES|5|DES_5r_2.eval|5,DES,5,DES_5r_2.eval,5,
PRESENT|1|PRESENT_1r_1.eval|1,PRESENT,1,PRESENT_1r_1.eval,1,
PRESENT|1|PRESENT_1r_1.eval|3,PRESENT,1,PRESENT_1r_1.eval,3,
PRESENT|1|PRESENT_1r_1.eval|4,PRESENT,1,PRESENT_1r_1.eval,4,
PRESENT|1|PRESENT_1r_1.eval|5,PRESENT,1,PRESENT_1r_1.eval,5,
PRESENT|1|PRESENT_1r_1.eval|6,PRESENT,1,PRESENT_1r_1.eval,6,
PRESENT|1|PRESENT_1r_1.eval|9,PRESENT,1,PRESENT_1r_1.eval,9,
PRESENT|1|PRESENT_1r_1.eval|10,PRESENT,1,PRESENT_1r_1.eval,10,
PRESENT|1|PRESENT_1r_1.eval|11,PRESENT,1,PRESENT_1r_1.eval,11,
PRESENT|1|PRESENT_1r_1.eval|12,PRESENT,1,PRESENT_1r_1.eval,12,
PRESENT|1|PRESENT_1r_1.eval|13,PRESENT,1,PRESENT_1r_1.eval,13,
PRESENT|2|PRESENT_2r_1.eval|1,PRESENT,2,PRESENT_2r_1.eval,1,
PRESENT|2|PRESENT_2r_1.eval|2,PRESENT,2,PRESENT_2r_1.eval,2,
PRESENT|2|PRESENT_2r_1.eval|3,PRESENT,2,PRESENT_2r_1.eval,3,
PRESENT|2|PRESENT_2r_1.eval|4,PRESENT,2,PRESENT_2r_1.eval,4,
PRESENT|2|PRESENT_2r_1.eval|5,PRESENT,2,PRESENT_2r_1.eval,5,
PRESENT|2|PRESENT_2r_1.eval|6,PRESENT,2,PRESENT_2r_1.eval,6,
PRESENT|2|PRESENT_2r_1.eval|7,PRESENT,2,PRESENT_2r_1.eval,7,
PRESENT|2|PRESENT_2r_1.eval|8,PRESENT,2,PRESENT_2r_1.eval,8,
PRESENT|2|PRESENT_2r_1.eval|9,PRESENT,2,PRESENT_2r_1.eval,9,
PRESENT|2|PRESENT_2r_1.eval|10,PRESENT,2,PRESENT_2r_1.eval,10,
PRESENT|3|PRESENT_3r_1.eval|1,PRESENT,3,PRESENT_3r_1.eval,1,
PRESENT|3|PRESENT_3r_1.eval|2,PRESENT,3,PRESENT_3r_1.eval,2,
PRESENT|3|PRESENT_3r_1.eval|3,PRESENT,3,PRESENT_3r_1.eval,3,
PRESENT|3|PRESENT_3r_1.eval|4,PRESENT,3,PRESENT_3r_1.eval,4,
PRESENT|3|PRESENT_3r_1.eval|5,PRESENT,3,PRESENT_3r_1.eval,5,
PRESENT|3|PRESENT_3r_2.eval|1,PRESENT,3,PRESENT_3r_2.eval,1,
PRESENT|3|PRESENT_3r_2.eval|2,PRESENT,3,PRESENT_3r_2.eval,2,
PRESENT|3|PRESENT_3r_2.eval|3,PRESENT,3,PRESENT_3r_2.eval,3,
PRESENT|3|PRESENT_3r_2.eval|4,PRESENT,3,PRESENT_3r_2.eval,4,
PRESENT|3|PRESENT_3r_2.eval|5,PRESENT,3,PRESENT_3r_2.eval,5,
PRESENT|4|PRESENT_4r_2.eval|1,PRESENT,4,PRESENT_4r_2.eval,1,
PRESENT|4|PRESENT_4r_2.eval|2,PRESENT,4,PRESENT_4r_2.eval,2,
PRESENT|4|PRESENT_4r_2.eval|3,PRESENT,4,PRESENT_4r_2.eval,3,
PRESENT|4|PRESENT_4r_2.eval|4,PRESENT,4,PRESENT_4r_2.eval,4,
PRESENT|4|PRESENT_4r_2.eval|5,PRESENT,4,PRESENT_4r_2.eval,5,
PRESENT|4|PRESENT_4r_3.eval|1,PRESENT,4,PRESENT_4r_3.eval,1,
PRESENT|4|PRESENT_4r_3.eval|2,PRESENT,4,PRESENT_4r_3.eval,2,
PRESENT|4|PRESENT_4r_3.eval|3,PRESENT,4,PRESENT_4r_3.eval,3,
PRESENT|4|PRESENT_4r_3.eval|4,PRESENT,4,PRESENT_4r_3.eval,4,
PRESENT|4|PRESENT_4r_3.eval|5,PRESENT,4,PRESENT_4r_3.eval,5,
PRESENT|5|PRESENT_5r_1.eval|1,PRESENT,5,PRESENT_5r_1.eval,1,
PRESENT|5|PRESENT_5r_2.eval|4,PRESENT,5,PRESENT_5r_2.eval,4,
